============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  175 10 .3061033E+08   4000000E+03 -.1628E+08 -.9325E+08   .9986800 -.0175361 -.0482786
T  176 10 .3109520E+08   4000000E+03 -.8586E+07  .1029E+08   .9999870 -.0051005  .0001201
T  177 10 .3016315E+08   4000000E+03  .3922E+06 -.3148E+08   .9996712  .0199191 -.0161479
T  178 10 .3084116E+08   4000000E+03 -.1035E+08 -.6692E+07   .9999979  .0011990  .0016769
T  179 10 .3060347E+08   4000000E+03 -.1575E+08  .4214E+08   .9996984  .0101887  .0223465
T  180 10 .3099620E+08   4000000E+03  .1108E+08 -.6737E+07   .9999125  .0131197  .0017006
T  181 10 .3026451E+08   4000000E+03  .4748E+07  .2772E+08   .9998301  .0057796  .0175045
T  182 10 .3095232E+08   4000000E+03  .6158E+07  .3655E+08   .9998055  .0019987  .0196221
T  183 10 .3001459E+08   4000000E+03 -.1066E+08 -.4022E+08   .9997820 -.0080178 -.0192787
T  184 10 .3046718E+08   4000000E+03 -.2945E+08 -.2650E+07   .9996619 -.0259934 -.0006587
T  185 10 .3042486E+08   4000000E+03 -.1047E+08  .9025E+07   .9998536 -.0015623  .0170373
T  186 10 .3050970E+08   4000000E+03  .1294E+08  .5576E+07   .9998536  .0168092 -.0032119
T  187 10 .3071684E+08   4000000E+03  .2905E+08  .4708E+08   .9997366  .0098937  .0207106
T  188 10 .3007542E+08   4000000E+03 -.4148E+06 -.1140E+07   .9999871  .0039937  .0031401
T  189 10 .2563823E+08   4000000E+03 -.5929E+09  .9835E+08   .9823482 -.1824967  .0410734
T  190 10 .3140727E+08   4000000E+03 -.7164E+07 -.4660E+07   .9999545  .0094270  .0014811
T  191 10 .3090301E+08   4000000E+03  .1692E+08 -.3810E+07   .9998146  .0172334 -.0085891
T  192 10 .3050695E+08   4000000E+03  .1128E+09  .5139E+08   .9995784  .0283113  .0064479
T  193 10 .3094299E+08   4000000E+03 -.2282E+07 -.3423E+08   .9999421  .0018144 -.0106082
T  194 10 .3073950E+08   4000000E+03  .9481E+06 -.6716E+07   .9999528 -.0063723 -.0073397
T  195 10 .3037891E+08   4000000E+03 -.5467E+08 -.5420E+06   .9995186 -.0304831 -.0057799
T  196 10 .3002458E+08   4000000E+03 -.1960E+08  .1476E+09   .9982316  .0039611  .0593119
T  197 10 .3092357E+08   4000000E+03  .7854E+07  .4368E+08   .9997546  .0005214  .0221452
T  198 10 .3080745E+08   4000000E+03 -.5902E+08 -.1538E+07   .9995967 -.0283397  .0018108
T  199 10 .3070297E+08   4000000E+03  .4790E+05 -.1312E+08   .9999706  .0015642 -.0075029
T  200 10 .3037505E+08   4000000E+03  .6127E+07 -.1337E+08   .9995486  .0127066 -.0272235
T  201 10 .3002015E+08   4000000E+03 -.4176E+08  .2559E+08   .9993765 -.0158404  .0315549
T  202 10 .3036429E+08   4000000E+03  .1444E+08 -.3287E+08   .9999491  .0100789 -.0005408
T  203 10 .3052452E+08   4000000E+03  .1588E+08  .1636E+08   .9999751  .0010496  .0069767
T  204 10 .3093278E+08   4000000E+03  .1187E+08 -.4312E+08   .9996374  .0023181 -.0268285
T  205 10 .3087819E+08   4000000E+03 -.3150E+07  .9972E+08   .9991356 -.0086398  .0406629
T  206 10 .3059265E+08   4000000E+03  .5532E+08  .4793E+08   .9989075  .0311090  .0348724
T  207 10 .3102681E+08   4000000E+03  .8237E+07  .6727E+08   .9992216 -.0099679  .0381674
T  208 10 .3118363E+08   4000000E+03  .3891E+08 -.3325E+07   .9995145  .0302786 -.0073463
T  209 10 .3073881E+08   4000000E+03 -.1541E+08  .3041E+08   .9997877  .0022001  .0204862
